School Year,Sector,ULCS Code,School Name,Average Daily Attendance (YTD)
2020-2021,District,5610,Building 21,88.67
2020-2021,District,5620,The U School,89.08
2020-2021,District,5660,The LINC,84.79
2020-2021,District,5680,Honorable Luis Munoz-Marin School,81.58
2020-2021,District,5700,Kensington High School,78.77
2020-2021,District,6010,Central High School,99.35
2020-2021,District,6030,Roxborough High School,81.79
2020-2021,District,6040,Walter B. Saul High School,97.21
2020-2021,District,6050,Philadelphia High School for Girls,96.96
2020-2021,District,6060,Martin Luther King High School,75.22
2020-2021,District,6090,A. Philip Randolph Career and Technical High School,90.53
2020-2021,District,6200,Anna B. Day School,89.35
2020-2021,District,6210,Franklin S. Edmonds School,93.15
2020-2021,District,6220,Eleanor C. Emlen School,90.24
2020-2021,District,6230,Fitler Academics Plus School,91.57
2020-2021,District,6250,Charles W. Henry School,95.97
2020-2021,District,6260,Henry H. Houston School,94.49
2020-2021,District,6270,Jenks Academy for Arts and Sciences,94.41
2020-2021,District,6300,James Logan School,90.32
2020-2021,District,6310,John F. McCloskey School,90.39
2020-2021,District,6320,Thomas Mifflin School,89.40
2020-2021,District,6340,Joseph Pennell School,85.39
2020-2021,District,6350,Samuel Pennypacker School,87.44
2020-2021,District,6360,Theodore Roosevelt School,81.04
2020-2021,District,6380,Shawmont School,93.52
2020-2021,District,6390,Edward T. Steel School,79.56
2020-2021,District,6410,Cook-Wissahickon School,93.84
2020-2021,District,6440,Anna L. Lingelbach School,92.22
2020-2021,District,6450,James Dobson School,94.26
2020-2021,District,6460,Hill-Freedman World Academy,96.50
2020-2021,District,6470,John B. Kelly School,80.74
2020-2021,District,6480,Academy for the Middle Years at Northwest,96.07
2020-2021,District,6540,Lankenau High School,98.81
2020-2021,District,7010,Frankford High School,77.92
2020-2021,District,7100,Jay Cooke School,87.26
2020-2021,District,7110,Warren G. Harding School,85.25
2020-2021,District,7120,Samuel Fels High School,84.92
2020-2021,District,7130,General Louis Wagner School,91.12
2020-2021,District,7150,Juniata Park Academy,91.75
2020-2021,District,7200,Clara Barton School,89.87
2020-2021,District,7220,Laura H. Carnell School,87.83
2020-2021,District,7260,Ellwood School,89.70
2020-2021,District,7270,Thomas K. Finletter School,93.18
2020-2021,District,7280,Benjamin Franklin School,90.18
2020-2021,District,7290,Allen M. Stearne School,82.91
2020-2021,District,7300,Francis Hopkinson School,88.95
2020-2021,District,7310,Feltonville Intermediate School,88.83
2020-2021,District,7320,Julia W. Howe School,89.93
2020-2021,District,7330,Henry W. Lawton School,90.46
2020-2021,District,7350,James R. Lowell School,87.89
2020-2021,District,7360,John Marshall School,82.67
2020-2021,District,7370,"Grover Washington, Jr. School",94.04
2020-2021,District,7380,Alexander K. McClure School,82.58
2020-2021,District,7390,Andrew J. Morrison School,86.91
2020-2021,District,7400,Olney School,85.95
2020-2021,District,7430,James J. Sullivan School,88.25
2020-2021,District,7440,Bayard Taylor School,81.71
2020-2021,District,7460,William H. Ziegler School,85.86
2020-2021,District,7470,Bridesburg School,91.28
2020-2021,District,7490,Prince Hall School,86.48
2020-2021,District,7500,Feltonville School of Arts and Sciences,95.11
2020-2021,District,7510,Mary M. Bethune School,73.77
2020-2021,District,7530,William Rowen School,89.06
2020-2021,District,7730,Roberto Clemente School,90.05
2020-2021,District,8010,Abraham Lincoln High School,92.05
2020-2021,District,8020,Northeast High School,92.63
2020-2021,District,8030,George Washington High School,90.91
2020-2021,District,8040,Arts Academy at Benjamin Rush,98.02
2020-2021,District,8090,Swenson Arts and Technology High School,95.12
2020-2021,District,8120,Woodrow Wilson School,94.69
2020-2021,District,8140,Austin Meehan School,91.65
2020-2021,District,8160,Baldi School,98.06
2020-2021,District,8200,Ethan Allen School,91.05
2020-2021,District,8210,Joseph H. Brown School,94.29
2020-2021,District,8230,Kennedy C. Crossan School,92.89
2020-2021,District,8240,Hamilton Disston School,84.19
2020-2021,District,8250,Edwin Forrest School,90.26
2020-2021,District,8260,Fox Chase School,95.75
2020-2021,District,8270,Thomas Holme School,93.86
2020-2021,District,8300,Mayfair School,94.78
2020-2021,District,8310,J. Hampton Moore School,94.51
2020-2021,District,8340,Solomon Solis-Cohen School,93.40
2020-2021,District,8350,Gilbert Spruance School,90.02
2020-2021,District,8360,Rhawnhurst School,94.87
2020-2021,District,8370,Watson Comly School,96.81
2020-2021,District,8380,Louis H. Farrell School,95.77
2020-2021,District,8390,A.L. Fitzpatrick School,91.55
2020-2021,District,8400,Anne Frank School,97.58
2020-2021,District,8410,Robert B. Pollock School,91.30
2020-2021,District,8420,Stephen Decatur School,93.27
2020-2021,District,8430,Joseph Greenberg School,98.13
2020-2021,District,8440,William H. Loesche School,95.96
2020-2021,District,8560,The Workshop School,87.51
2020-2021,District,8770,John Hancock Demonstration School,94.76
